TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AgeGroup,AmountGroup,Target,PCA1,PCA2
14.09,2023-04-11 16:29:14,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,2024-11-04 08:08:08,Lansia,Kecil,0,1.1481399163386559,-0.4313890574505082
376.24,2023-06-27 16:44:19,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2024-11-04 08:09:35,Lansia,Besar,3,2.424262346777799,0.1680875263829859
126.29,2023-07-10 18:16:08,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,2024-11-04 08:07:04,Remaja,Sedang,1,-1.6148170736839436,0.21225556085449568
184.5,2023-05-05 16:32:11,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,2024-11-04 08:09:06,Dewasa Muda,Sedang,3,0.03582302457718663,0.7103941649763139
13.45,2023-10-16 17:51:24,Credit,Atlanta,Online,45.0,Student,198.0,1.0,7429.4,2024-11-04 08:06:39,Paruh Baya,Kecil,3,0.41929913695001253,-1.5929631806313183
92.15,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,2024-11-04 08:06:36,Remaja,Kecil,1,-1.8576153203815406,-1.0596524464997459
7.08,2023-02-15 16:36:48,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,2024-11-04 08:10:09,Dewasa Muda,Kecil,3,1.2510810163138746,-1.0224890170718532
171.42,2023-05-08 17:47:59,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,2024-11-04 08:10:55,Lansia,Sedang,0,0.2706336423484302,-2.0068530629776533
106.23,2023-03-21 16:59:46,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,2024-11-04 08:11:14,Paruh Baya,Sedang,3,1.0745294796386697,-0.16905092420733095
815.96,2023-03-31 16:06:57,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.88,2024-11-04 08:06:32,Paruh Baya,Besar,2,-0.5433557414039965,1.84351601231433
17.78,2023-03-14 16:46:10,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,2024-11-04 08:06:45,Paruh Baya,Kecil,3,0.9115264437454175,-0.19243663956684767
190.02,2023-02-06 17:30:00,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,2024-11-04 08:07:12,Remaja,Sedang,1,-1.640442760593037,-0.7466959427689155
494.52,2023-06-07 17:21:28,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,2024-11-04 08:08:38,Remaja,Besar,1,-1.5361110404493363,0.8808104438408674
781.76,2023-11-20 16:39:15,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,2024-11-04 08:07:06,Dewasa Muda,Besar,2,-1.8396835471464368,1.7123493291125638
166.99,2023-02-13 16:53:57,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,2024-11-04 08:10:09,Remaja,Sedang,1,-1.9227017824851482,-0.43175550642732397
465.45,2023-12-12 16:23:31,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,2024-11-04 08:12:19,Dewasa Muda,Besar,2,-0.7363678939832361,0.5992116485820014
555.8,2023-10-30 16:52:49,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,2024-11-04 08:07:35,Remaja,Besar,2,-1.909122333967891,0.6163804563457757
492.93,2023-12-14 18:32:14,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,2024-11-04 08:11:51,Dewasa Muda,Besar,2,-0.4678426390737599,-0.3606496274550131
18.68,2023-02-21 16:56:50,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,2024-11-04 08:12:01,Paruh Baya,Kecil,0,1.1907525711791678,-0.6621193609361925
71.48,2023-06-08 18:18:50,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,2024-11-04 08:09:20,Remaja,Kecil,1,-0.7946801008443972,-1.0994891683712238
59.32,2023-02-28 16:36:58,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,2024-11-04 08:09:24,Lansia,Kecil,0,1.3440833068942928,0.14767600232081798
85.77,2023-08-11 18:31:31,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,2024-11-04 08:08:13,Dewasa Muda,Kecil,3,0.5648730310229388,-0.30145958136702666
52.2,2023-06-06 18:54:15,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,2024-11-04 08:07:01,Dewasa Muda,Kecil,3,0.5502887957202826,-0.6829161337930487
145.54,2023-03-02 16:43:56,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,2024-11-04 08:07:09,Remaja,Sedang,1,-1.4486075806179606,-0.12469785530584374
7.49,2023-10-20 17:53:13,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,2024-11-04 08:09:44,Lansia,Kecil,0,0.42455401637181567,-2.3996065525549035
40.32,2023-03-29 16:42:38,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,2024-11-04 08:11:59,Dewasa Muda,Kecil,1,-0.6340136811504086,-0.4701968227434352
127.45,2023-01-24 16:18:32,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,2024-11-04 08:11:22,Paruh Baya,Sedang,1,-0.6894836522491081,-1.2034573513308005
56.17,2023-09-20 16:55:42,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,2024-11-04 08:08:30,Dewasa Muda,Kecil,1,-1.5297433391480515,-2.2920249508080563
